# lambda [A]	Dlambda [A]	specval [counts]
4.281568236831269132e+03	1.600670503005471534e+00	3.194484429382487747e+02
4.284135942909245387e+03	1.597289472641894026e+00	2.870496404449978058e+02
4.286703431397790155e+03	1.593916657775338752e+00	2.559698316310067412e+02
4.289270702296905256e+03	1.590552067294098926e+00	2.975981531188152189e+02
4.291837755606589781e+03	1.587195710090963496e+00	3.380452715296312363e+02
4.294404591326843729e+03	1.583847595062762181e+00	3.372078826199044101e+02
4.296971209457667101e+03	1.580507731109976222e+00	3.375088510602788574e+02
4.299537609999059896e+03	1.577176127136333816e+00	3.130065650995776991e+02
4.302103792951023024e+03	1.573852792048296756e+00	2.767961629951575446e+02
4.304669758313555576e+03	1.570537734754743342e+00	3.319735551372692157e+02
4.307235506086656642e+03	1.567230964166399954e+00	3.167715241361080984e+02
4.309801036270328041e+03	1.563932489195471787e+00	2.761634839041652754e+02
4.312366348864568863e+03	1.560642318755130153e+00	2.948814559380394371e+02
4.314931443869379109e+03	1.557360461759087933e+00	2.986431317103413789e+02
4.317496321284758778e+03	1.554086927121143491e+00	2.767083481465410841e+02
4.320060981110708781e+03	1.550821723754620240e+00	2.767283572874667925e+02
4.322625423347227297e+03	1.547564860571974732e+00	2.976055173737220230e+02
4.325189647994316147e+03	1.544316346484259306e+00	3.630624878850018717e+02
4.327753655051974420e+03	1.541076190400634927e+00	4.019965045096744802e+02
4.330317444520202116e+03	1.537844401227848046e+00	3.808333204674254375e+02
4.332881016398999236e+03	1.534620987869771191e+00	4.166916073115624499e+02
4.335444370688365780e+03	1.531405959226834756e+00	3.662997499837697433e+02
4.338007507388301747e+03	1.528199324195511855e+00	3.529286111892272970e+02
4.340570426498808047e+03	1.525001091667805841e+00	3.609544873498148263e+02
4.343133128019883770e+03	1.521811270530703197e+00	3.737062659876215776e+02
4.345695611951528008e+03	1.518629869665619303e+00	3.753455041638315492e+02
4.348257878293742579e+03	1.515456897947875081e+00	3.304261442815852661e+02
4.350819927046526573e+03	1.512292364246086152e+00	3.390653136053645085e+02
4.353381758209880900e+03	1.509136277421663230e+00	3.271080060336464044e+02
4.355943371783803741e+03	1.505988646328182634e+00	2.953674187282681487e+02
4.358504767768296915e+03	1.502849479810844491e+00	2.686631748191128963e+02
4.361065946163358603e+03	1.499718786705842355e+00	3.140002404777522997e+02
4.363626906968990625e+03	1.496596575839850507e+00	3.528560537549976743e+02
4.366187650185192069e+03	1.493482856029317407e+00	3.284030744027966762e+02
4.368748175811962938e+03	1.490377636079924129e+00	3.376991560230329696e+02
4.371308483849303229e+03	1.487280924785963521e+00	3.912211226242072826e+02
4.373868574297213854e+03	1.484192730929702719e+00	3.733792450076476825e+02
4.376428447155692993e+03	1.481113063280752984e+00	3.140221994018732516e+02
4.378988102424742465e+03	1.478041930595431319e+00	2.924615385742815761e+02
4.381547540104360451e+03	1.474979341616125650e+00	3.057602286528949094e+02
4.384106760194548770e+03	1.471925305070641787e+00	3.002339690616135499e+02
4.386665762695306512e+03	1.468879829671533521e+00	2.456523120063751264e+02
4.389224547606634587e+03	1.465842924115416501e+00	2.366755199620282042e+02
4.391783114928531177e+03	1.462814597082366053e+00	2.702992204615187006e+02
4.394341464660997190e+03	1.459794857235146459e+00	2.634536859417960954e+02
4.396899596804033536e+03	1.456783713218561260e+00	2.469192708671914716e+02
4.399457511357639305e+03	1.453781173658783565e+00	2.473665759664617099e+02
4.402015208321814498e+03	1.450787247162584226e+00	2.436628943102473670e+02
4.404572687696559115e+03	1.447801942316677026e+00	2.447049485821698624e+02
4.407129949481873155e+03	1.444825267686983938e+00	2.388348861326110182e+02
4.409686993677756618e+03	1.441857231817883056e+00	2.206529222854675538e+02
4.412243820284210415e+03	1.438897843231507823e+00	2.239552923616308817e+02
4.414800429301232725e+03	1.435947110426973206e+00	2.454077152438316318e+02
4.417356820728825369e+03	1.433005041879661823e+00	2.575396908806578153e+02
4.419912994566987436e+03	1.430071646040423916e+00	2.666664869784654570e+02
4.422468950815718927e+03	1.427146931334842384e+00	3.077802475980312806e+02
4.425024689475019841e+03	1.424230906162438970e+00	3.277829866239957255e+02
4.427580210544890178e+03	1.421323578895912432e+00	3.129890607588727676e+02
4.430135514025329940e+03	1.418424957880330295e+00	2.765476580831671072e+02
4.432690599916340034e+03	1.415535051432357028e+00	2.778406060066969872e+02
4.435245468217918642e+03	1.412653867839398725e+00	2.638545390885801680e+02
4.437800118930067583e+03	1.409781415358867696e+00	2.542736227143545307e+02
4.440354552052785948e+03	1.406917702217286070e+00	2.556437496737921435e+02
