# wL	I
3950.07865611614	11.9479824639609
3950.13865197048	11.9479824639609
3950.198642235	-108.017218558462
3950.25862690969	51.1748166886733
3950.31860599454	116.102769973856
3950.37857948957	261.814630775087
3950.43854739476	646.510847513429
3950.49850971014	646.510847513429
3950.55846643567	444.695473527749
3950.61841757138	9.23255743369775
3950.67836311726	-161.200409785678
3950.7383030733	-161.200409785678
3950.79823743953	-266.888225158017
3950.85816621592	-362.029771676494
3950.91808940247	-588.268506390654
3950.97800699921	-588.268506390654
3951.0379190061	-541.702721051259
3951.09782542317	-289.725514798464
3951.15772625041	-162.145658398414
3951.21762148783	-162.145658398414
3951.2775111354	-162.145658398414
3951.33739519316	27.4808606405164
3951.39727366108	263.274130298219
3951.45714653917	504.313159815468
3951.51701382744	618.951001588841
3951.57687552587	764.270410266983
3951.63673163447	1102.16513927048
3951.69658215324	1245.3168958475
3951.75642708219	1245.3168958475
3951.8162664213	786.986601947671
3951.87610017058	343.300133582084
3951.93592833004	154.355762737069
3951.99575089966	73.3815522014358
3952.05556787945	73.3815522014358
3952.11537926942	741.272887474829
3952.17518506955	906.012053386483
3952.23498527986	906.012053386483
3952.29477990034	458.31855192484
3952.35456893098	346.465198332442
3952.4143523718	346.465198332442
3952.47413022279	527.505334397387
3952.53390248395	760.734778100516
3952.59366915527	820.567653373689
3952.65343023677	855.220503766834
3952.71318572844	913.494673917633
3952.77293563027	1029.97572681078
3952.83267994229	1145.41421025229
3952.89241866446	1248.12349975622
3952.95215179681	1529.79437827161
3953.01187933933	1659.50298299755
3953.07160129202	1659.50298299755
3953.13131765488	1253.37081838129
3953.19102842791	1030.71556594863
3953.25073361111	1030.71556594863
3953.31043320448	1067.62667119441
3953.37012720803	1067.62667119441
3953.42981562173	1056.0185424192
3953.48949844562	933.290493922306
3953.54917567967	933.290493922306
3953.6088473239	933.290493922306
3953.66851337828	856.392219626037
3953.72817384285	856.392219626037
3953.78782871758	923.743499175366
3953.84747800248	937.808368441542
3953.90712169756	1044.84418344914
3953.9667598028	1044.84418344914
3954.02639231822	839.324328993793
3954.0860192438	372.496564031461
3954.14564057955	372.496564031461
3954.20525632548	527.973603973321
3954.26486648157	764.082020897014
3954.32447104784	803.630778920039
3954.38407002427	827.679765294655
3954.44366341088	1139.47268109446
3954.50325120766	1178.81656157386
3954.56283341461	1399.32998659405
3954.62241003173	1399.32998659405
3954.68198105901	1312.30162898453
3954.74154649647	1312.30162898453
3954.8011063441	1374.56611573377
3954.8606606019	1410.27917982802
3954.92020926986	1410.27917982802
3954.979752348	1339.47798694809
3955.03928983632	873.19044466004
3955.09882173479	602.454696144199
3955.15834804344	602.454696144199
3955.21786876226	935.697643339005
3955.27738389125	975.424184873143
3955.33689343041	1005.29595761327
3955.39639737974	1336.19017604137
3955.45589573924	1487.41824219331
3955.51538850891	1706.85610942191
3955.57487568876	1729.04098495334
3955.63435727877	1729.04098495334
3955.69383327895	1417.58082547624
3955.7533036893	1321.0329965652
3955.81276850982	1153.2638580334
3955.87222774052	1111.21511710678
3955.93168138138	1153.2638580334
3955.99112943242	1487.13736125457
3956.05057189362	1585.82909931372
3956.11000876499	1727.28436359784
3956.16944004653	1890.16900981023
3956.22886573825	1890.16900981023
3956.28828584014	1857.78463382653
3956.34770035219	1857.78463382653
3956.40710927441	1954.35859414036
3956.46651260681	1954.35859414036
3956.52591034938	1923.90187686303
3956.58530250212	1884.09909286326
3956.64468906502	1784.84088302422
3956.7040700381	1720.55746741879
3956.76344542135	1720.55746741879
3956.82281521476	1728.09567180789
3956.88217941835	1728.09567180789
3956.94153803211	1572.90119370178
3957.00089105604	1572.90119370178
3957.06023849014	1582.40781929995
3957.11958033441	1685.5374060887
3957.17891658884	1718.4639609175
3957.23824725346	1817.3482319684
3957.29757232824	1718.4639609175
3957.35689181319	1715.81524116897
3957.41620570831	1346.00974675111
3957.4755140136	1346.00974675111
3957.53481672906	1452.95001249136
3957.59411385469	1592.66462607598
3957.65340539049	1735.73216657808
3957.71269133646	1753.22756136965
3957.77197169261	1753.22756136965
3957.83124645892	1697.210798093
3957.8905156354	1607.23900143762
3957.94977922206	1426.08937518228
3958.00903721888	1426.08937518228
3958.06828962587	1627.55796385836
3958.12753644303	1795.48663892543
3958.18677767037	1839.64784313325
3958.24601330788	1869.214713938
3958.30524335554	1869.214713938
3958.3644678134	2027.07777191775
3958.4236866814	2027.07777191775
3958.4828999596	2016.18083090057
3958.54210764795	1775.09496456763
3958.60130974647	1595.29042866118
3958.66050625517	1595.29042866118
3958.71969717404	1628.66510762053
3958.77888250308	1628.66510762053
3958.83806224228	1460.90510156446
3958.89723639166	1390.38315728826
3958.95640495121	1390.38315728826
3959.01556792093	1431.09893041853
3959.07472530082	1569.96239498226
3959.13387709087	1700.20952777744
3959.19302329111	1700.20952777744
3959.2521639015	1665.7241319729
3959.31129892207	1458.17561622337
3959.37042835282	1311.51383384318
3959.42955219372	1311.51383384318
3959.4886704448	1423.40801369159
3959.54778310605	1423.40801369159
3959.60689017748	1320.51851649012
3959.66599165907	1237.78943898248
3959.72508755083	1237.78943898248
3959.78417785276	1487.37948274739
3959.84326256486	1798.79432972501
3959.90234168714	1798.79432972501
3959.96141521958	1666.0470697796
3960.02048316219	1666.0470697796
3960.07954551497	1665.45829549999
3960.13860227793	1593.89705906868
3960.19765345105	1563.03142459242
3960.25669903435	1347.37292055823
3960.31573902781	1295.69865154283
3960.37477343144	1295.69865154283
3960.43380224525	1407.11413225926
3960.49282546923	1500.65626235265
3960.55184310337	1503.66530821427
3960.61085514769	1503.66530821427
3960.66986160217	1493.65989899077
3960.72886246683	1296.39589467127
3960.78785774165	1245.94014696586
3960.84684742665	1245.94014696586
3960.90583152182	1322.9147816962
3960.96481002716	1378.62462490371
3961.02378294267	1440.13030418314
3961.08275026834	1579.77139310926
3961.14171200419	1579.77139310926
3961.20066815021	1515.64804885561
3961.2596187064	1339.28466295998
3961.31856367276	1286.95121579513
3961.37750304929	1196.54724114629
3961.43643683599	1196.54724114629
3961.49536503286	1286.63429566101
3961.5542876399	1424.70647229619
3961.61320465711	1594.96870803104
3961.67211608449	1726.68289150074
3961.73102192204	1726.68289150074
3961.78992216977	1557.6546111056
3961.84881682766	1434.69238700841
3961.90770589572	1434.69238700841
3961.96658937396	1494.32473437408
3962.02546726235	1494.32473437408
3962.08433956093	1486.40145493429
3962.14320626967	1311.13547683842
3962.20206738858	1299.13772874953
3962.26092291767	1299.13772874953
3962.31977285692	1299.13772874953
3962.37861720635	1221.32002040945
3962.43745596594	1221.32002040945
3962.49628913571	1276.6677945171
3962.55511671564	1376.70367003862
3962.61393870575	1376.70367003862
3962.67275510602	1314.97988775398
3962.73156591647	1313.84390926674
3962.79037113709	1265.47735937065
3962.84917076787	1265.47735937065
3962.90796480883	1286.85292696888
3962.96675325995	1306.00715462668
3963.02553612125	1317.97856781037
3963.08431339272	1317.97856781037
3963.14308507436	1297.67517146396
3963.20185116617	1264.17883797539
3963.26061166815	1263.99779866401
3963.3193665803	1260.12350689935
3963.37811590261	1238.36130855455
3963.4368596351	1236.71665503338
3963.49559777776	1214.35615558167
3963.5543303306	1214.35615558167
3963.61305729359	1192.3250014305
3963.67177866677	1192.05413639651
3963.7304944501	1192.05413639651
3963.78920464361	1263.39826051674
3963.8479092473	1263.39826051674
3963.90660826115	1214.10949365708
3963.96530168517	1162.3763872877
3964.02398951937	1162.3763872877
3964.08267176373	1170.28966864342
3964.14134841826	1245.91732232574
3964.20001948297	1245.91732232574
3964.25868495784	1235.08079721281
3964.31734484288	1192.65010350497
3964.3759991381	1135.60433062305
3964.43464784348	1122.96302777719
3964.49329095903	1106.47062265429
3964.55192848476	1028.64327218666
3964.61056042065	889.139285959342
3964.66918676672	867.704560333632
3964.72780752295	867.704560333632
3964.78642268936	960.222643956542
3964.84503226594	1099.52825811849
3964.90363625269	1128.04482942252
3964.9622346496	1128.04482942252
3965.02082745669	1131.37988618447
3965.07941467395	1131.37988618447
3965.13799630137	1177.50828524269
3965.19657233897	1177.50828524269
3965.25514278675	1175.12319109484
3965.31370764468	1056.40691182104
3965.37226691279	980.080924261479
3965.43082059106	980.080924261479
3965.48936867952	982.084735831771
3965.54791117814	982.084735831771
3965.60644808693	930.802726732903
3965.66497940589	873.591178989005
3965.72350513502	837.338857709824
3965.78202527432	812.41606376884
