# lambda [A]	Dlambda [A]	specval [counts]
4.138719396475346912e+03	1.800935295657042357e+00	4.014656542989486638e+02
4.141299178766712430e+03	1.797111953598420575e+00	4.396684749362338493e+02
4.143878743468648281e+03	1.793296350778597281e+00	4.398139629796439749e+02
4.146458090581152646e+03	1.789488495350196384e+00	5.605473748911704206e+02
4.149037220104227345e+03	1.785688395485174773e+00	6.084466333254265464e+02
4.151616132037871466e+03	1.781896059374675767e+00	4.705124876730319556e+02
4.154194826382085012e+03	1.778111495228848149e+00	4.396248091773929332e+02
4.156773303136867980e+03	1.774334711276708942e+00	4.439150591027489554e+02
4.159351562302220373e+03	1.770565715765983539e+00	4.073481565319051469e+02
4.161929603878142188e+03	1.766804516962940941e+00	3.853496243493398765e+02
4.164507427864634337e+03	1.763051123152196586e+00	3.556914421695052511e+02
4.167085034261695910e+03	1.759305542636616648e+00	3.940113164312095364e+02
4.169662423069325996e+03	1.755567783737039367e+00	4.058495896832508834e+02
4.172239594287526415e+03	1.751837854792203553e+00	5.004419011253806957e+02
4.174816547916296258e+03	1.748115764158478802e+00	4.700777689475446550e+02
4.177393283955636434e+03	1.744401520209731604e+00	4.368061690996237303e+02
4.179969802405545124e+03	1.740695131337115731e+00	4.578972953924235867e+02
4.182546103266023238e+03	1.736996605948873951e+00	5.184215437355770746e+02
4.185122186537071684e+03	1.733305952470157729e+00	6.494104140401466339e+02
4.187698052218689554e+03	1.729623179342796524e+00	6.758928242338628252e+02
4.190273700310876848e+03	1.725948295025125256e+00	8.668757994847017017e+02
4.192849130813633565e+03	1.722281307991745392e+00	7.631965801088177841e+02
4.195424343726959705e+03	1.718622226733318881e+00	5.697082884968068583e+02
4.197999339050855269e+03	1.714971059756352334e+00	5.288904825623793613e+02
4.200574116785321166e+03	1.711327815582962986e+00	4.018243873665449541e+02
4.203148676930355577e+03	1.707692502750689734e+00	3.643221084695557579e+02
4.205723019485960322e+03	1.704065129812186496e+00	3.900407643065282173e+02
4.208297144452134489e+03	1.700445705335052349e+00	3.472932904759441044e+02
4.210871051828878080e+03	1.696834237901553744e+00	3.721814365622828973e+02
4.213444741616191095e+03	1.693230736108402468e+00	3.247204141224585783e+02
4.216018213814073533e+03	1.689635208566480529e+00	3.754742809315820864e+02
4.218591468422526304e+03	1.686047663900597904e+00	3.616917458178969014e+02
4.221164505441547590e+03	1.682468110749228085e+00	3.364289992769902256e+02
4.223737324871139208e+03	1.678896557764249620e+00	3.516716623699595061e+02
4.226309926711300250e+03	1.675333013610683652e+00	3.491682768052438632e+02
4.228882310962030715e+03	1.671777486966370629e+00	3.343223295641865889e+02
4.231454477623330604e+03	1.668229986521784003e+00	3.423800917987428534e+02
4.234026426695199916e+03	1.664690520979639210e+00	3.573350746881272357e+02
4.236598158177639561e+03	1.661159099054689836e+00	3.163220334584403872e+02
4.239169672070647721e+03	1.657635729473373232e+00	3.327717322168653595e+02
4.241740968374226213e+03	1.654120420973544947e+00	3.291988444418824429e+02
4.244312047088374129e+03	1.650613182304173865e+00	3.461352685657032566e+02
4.246882908213091468e+03	1.647114022225002916e+00	4.032756693539926687e+02
4.249453551748378231e+03	1.643622949506271747e+00	4.708487041405675200e+02
4.252023977694234418e+03	1.640139972928380097e+00	5.852184236783258484e+02
4.254594186050660028e+03	1.636665101281543855e+00	5.204571777639519041e+02
4.257164176817655061e+03	1.633198343365485528e+00	4.222961560535857188e+02
4.259733949995220428e+03	1.629739707989115827e+00	4.028441417181026623e+02
4.262303505583355218e+03	1.626289203970147756e+00	3.862414430806047676e+02
4.264872843582059431e+03	1.622846840134761992e+00	4.797632179473224028e+02
4.267441963991333068e+03	1.619412625317292687e+00	4.687277926463279414e+02
4.270010866811176129e+03	1.615986568359791375e+00	4.682172437201628554e+02
4.272579552041588613e+03	1.612568678111761411e+00	4.715240440813756209e+02
4.275148019682571430e+03	1.609158963429693001e+00	3.920626357798966524e+02
4.277716269734123671e+03	1.605757433176761451e+00	3.142710929448618344e+02
4.280284302196244425e+03	1.602364096222383072e+00	2.905388726172245129e+02
4.282852117068935513e+03	1.598978961441886559e+00	2.944212787367061992e+02
4.285419714352196024e+03	1.595602037716082888e+00	3.062048919715306283e+02
4.287987094046026868e+03	1.592233333930853423e+00	3.138254609515411744e+02
4.290554256150426227e+03	1.588872858976805968e+00	3.123433727729508860e+02
